"Balanced KEGG Reactions",,,,,,
"ID","NAME","FORMULA (ID)","FORMULA (NAME)",,"INCLUDED IN ANAEROBIC GLOBAL METABOLISM?","Standard Molar Free Energy kJ/mol (pH 7, ionic strength 0.1 M)"
"R10477","None"," C00005 +  C00007 +  C00080 +  C20503 =>  C00001 +  C00006 +  C20505"," NADPH +  Oxygen +  H+ +  1'-Hydroxyversicolorone =>  H2O +  NADP+ +  Versiconal hemiacetal acetate",,FALSO,"NaN"
"R10478","None"," C00005 +  C00007 +  C00080 +  C20504 =>  C00001 +  C00006 +  C20506"," NADPH +  Oxygen +  H+ +  Versicolorone =>  H2O +  NADP+ +  Versiconol acetate",,FALSO,"NaN"
"R10479","None"," C00005 +  C00007 +  C00080 +  C20575 => 2 C00001 +  C00006 +  C20583"," NADPH +  Oxygen +  H+ +  Versicolorin B => 2 H2O +  NADP+ +  Versicolorin A",,FALSO,"NaN"
"R10485","malonyl-CoA:(S)-1-pyrroline-5-carboxylate malonyltransferase (cyclizing)"," C00010 +  C00011 +  C17366 <=>  C00001 +  C00083 +  C03912"," CoA +  CO2 +  (2S,5S)-trans-Carboxymethylproline <=>  H2O +  Malonyl-CoA +  (S)-1-Pyrroline-5-carboxylate",,VERDADEIRO,"NaN"
"R10486","maltose 6'-phosphate phosphohydrolase"," C00009 +  C00208 <=>  C00001 +  C02995"," Orthophosphate +  Maltose <=>  H2O +  Maltose 6'-phosphate",,VERDADEIRO,"NaN"
"R10487","(S)-2-(4-chloro-2-dichlorophenoxy)propanoate,2-oxoglutarate:oxygen oxidoreductase (pyruvate-forming)"," C00007 +  C00026 +  C20687 =>  C00011 +  C00022 +  C00042 +  C02625"," Oxygen +  2-Oxoglutarate +  (S)-(2,4-Dichlorophenoxy)propanoate =>  CO2 +  Pyruvate +  Succinate +  2,4-Dichlorophenol",,FALSO,"NaN"
"R10488","(2S)-2-amino-3-[(carbamoylamino)oxy]propanoate 2-epimerase"," C20651 <=>  C20639"," O-Ureido-D-serine <=>  O-Ureido-L-serine",,VERDADEIRO,"NaN"
"R10491","S-adenosyl-L-methionine:gamma-tocotrienol 5-O-methyltransferase"," C00021 +  C14153 <=>  C00019 +  C14155"," S-Adenosyl-L-homocysteine +  alpha-Tocotrienol <=>  S-Adenosyl-L-methionine +  gamma-Tocotrienol",,VERDADEIRO,"NaN"
"R10492","S-adenosyl-L-methionine:delta-tocotrienol 5-O-methyltransferase"," C00021 +  C14154 <=>  C00019 +  C14156"," S-Adenosyl-L-homocysteine +  beta-Tocotrienol <=>  S-Adenosyl-L-methionine +  delta-Tocotrienol",,VERDADEIRO,"NaN"
"R10493","(2E,6E)-farnesyl-diphosphate diphosphate-lyase (kunzeaol forming)"," C00013 +  C20576 <=>  C00001 +  C00448"," Diphosphate +  Kunzeaol <=>  H2O +  trans,trans-Farnesyl diphosphate",,VERDADEIRO,"NaN"
"R10494","6-tuliposide-A D-glucose-lyase (tulipalin A forming)"," C00031 +  C20578 <=>  C20577"," D-Glucose +  Tulipalin A <=>  6-Tuliposide A",,VERDADEIRO,"NaN"
"R10495","S-adenosyl-L-methionine:anthranilate:L-phenylalanine ligase (cyclopeptine forming)","2 C00013 + 2 C00020 +  C00021 +  C20579 <=> 2 C00002 +  C00019 +  C00079 +  C00108","2 Diphosphate + 2 AMP +  S-Adenosyl-L-homocysteine +  Cyclopeptine <=> 2 ATP +  S-Adenosyl-L-methionine +  L-Phenylalanine +  Anthranilate",,VERDADEIRO,"NaN"
"R10500","acetyl-CoA:phenylpyruvate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)"," C00010 +  C20653 <=>  C00001 +  C00024 +  C00166"," CoA +  2-Benzylmalic acid <=>  H2O +  Acetyl-CoA +  Phenylpyruvate",,VERDADEIRO,"NaN"
"R10501","2-benzylmalate hydro-lyase (3-benzylmalate-forming)"," C20654 <=>  C20653"," 3-Benzylmalic acid <=>  2-Benzylmalic acid",,VERDADEIRO,"NaN"
"R10502","3-benzylmalate:NAD+ oxidoreductase (decarboxylating)"," C00004 +  C00011 +  C00080 +  C20327 <=>  C00003 +  C20654"," NADH +  CO2 +  H+ +  2-Oxo-4-phenylbutyric acid <=>  NAD+ +  3-Benzylmalic acid",,VERDADEIRO,"NaN"
"R10504","meso-2,3-butanediol:NAD+ oxidoreductase [(S)-acetoin forming]"," C00004 +  C00080 +  C01769 <=>  C00003 +  C20657"," NADH +  H+ +  (S)-Acetoin <=>  NAD+ +  meso-2,3-Butanediol",,VERDADEIRO,"NaN"
"R10505","meso-2,3-butanediol:NAD+ oxidoreductase [(R)-acetoin forming]"," C00004 +  C00080 +  C00810 <=>  C00003 +  C20657"," NADH +  H+ +  (R)-Acetoin <=>  NAD+ +  meso-2,3-Butanediol",,VERDADEIRO,"NaN"
"R10507","L-proline:(acceptor) oxidoreductase"," C01352 +  C03912 <=>  C00016 +  C00148"," FADH2 +  (S)-1-Pyrroline-5-carboxylate <=>  FAD +  L-Proline",,VERDADEIRO,"NaN"
"R10508","lycopene cyclase"," C08613 <=>  C15867"," Torulene <=>  3,4-Dehydrolycopene",,VERDADEIRO,"NaN"
"R10509","(-)-bornyl-diphosphate lyase (decyclizing)"," C20664 <=>  C00341"," (-)-Bornyl diphosphate <=>  Geranyl diphosphate",,VERDADEIRO,"NaN"
"R10514","acetyl-CoA:GDP-4-amino-4,6-dideoxy-alpha-D-mannose N-acetyltransferase"," C00010 +  C20672 <=>  C00024 +  C20638"," CoA +  GDP-4-acetamido-4,6-dideoxy-alpha-D-mannose <=>  Acetyl-CoA +  GDP-4-amino-4,6-dideoxy-alpha-D-mannose",,VERDADEIRO,"NaN"
"R10517","NADH:oxygen oxidoreductase (H2O-forming)","2 C00004 +  C00007 + 2 C00080 => 2 C00001 + 2 C00003","2 NADH +  Oxygen + 2 H+ => 2 H2O + 2 NAD+",,FALSO,"NaN"
"R10518","NADPH:oxygen oxidoreductase (H2O-forming)","2 C00005 +  C00007 + 2 C00080 => 2 C00001 + 2 C00006","2 NADPH +  Oxygen + 2 H+ => 2 H2O + 2 NADP+",,FALSO,"NaN"
"R10519","D-glucose-6-phosphate:NAD+ oxidoreductase"," C00004 +  C00080 +  C20668 <=>  C00003 +  C00092"," NADH +  H+ +  3-Dehydro-D-glucose 6-phosphate <=>  NAD+ +  D-Glucose 6-phosphate",,VERDADEIRO,"NaN"
"R10520","D-glucose-6-phosphate:NAD+ 1-oxidoreductase"," C00004 +  C00080 +  C01236 <=>  C00003 +  C00092"," NADH +  H+ +  D-Glucono-1,5-lactone 6-phosphate <=>  NAD+ +  D-Glucose 6-phosphate",,VERDADEIRO,"NaN"
"R10521","2-amino-5-chlorophenol:oxygen 1,6-oxidoreductase (decyclizing)"," C00007 +  C20669 =>  C20670"," Oxygen +  2-Amino-5-chlorophenol =>  2-Amino-5-chloromuconate 6-semialdehyde",,FALSO,"NaN"
"R10523","S-adenosyl-L-methionine:L-histidine Nalpha-methyltransferase"," C00021 +  C03298 <=>  C00019 +  C00135"," S-Adenosyl-L-homocysteine +  Nalpha-Methylhistidine <=>  S-Adenosyl-L-methionine +  L-Histidine",,VERDADEIRO,"NaN"
"R10524","S-adenosyl-L-methionine:Nalpha-methyl-L-histidine Nalpha-methyltransferase"," C00021 +  C04259 <=>  C00019 +  C03298"," S-Adenosyl-L-homocysteine +  N,N-Dimethylhistidine <=>  S-Adenosyl-L-methionine +  Nalpha-Methylhistidine",,VERDADEIRO,"NaN"
"R10526","isovaleryl-CoA:S-adenosyl-L-methionine isovaleryltranserase (lactone-forming, methylthioadenosine-releasing)"," C00010 +  C00170 +  C20673 <=>  C00019 +  C02939"," CoA +  5'-Methylthioadenosine +  N-Isovaleryl-L-homoserine lactone <=>  S-Adenosyl-L-methionine +  3-Methylbutanoyl-CoA",,VERDADEIRO,"NaN"
"R10527","(S)-2-(4-chloro-2-methylphenoxy)propanoate,2-oxoglutarate:oxygen oxidoreductase (pyruvate-forming)"," C00007 +  C00026 +  C20686 =>  C00011 +  C00022 +  C00042 +  C03359"," Oxygen +  2-Oxoglutarate +  (S)-2-(4-Chloro-2-methylphenoxy)propanoate =>  CO2 +  Pyruvate +  Succinate +  4-Chloro-2-methylphenol",,FALSO,"NaN"
"R10529","4-coumaroyl-CoA:S-adenosyl-L-methionine trans-4-coumaroyltranserase (lactone-forming, methylthioadenosine-releasing)"," C00010 +  C00170 +  C20677 <=>  C00019 +  C00223"," CoA +  5'-Methylthioadenosine +  N-(4-Coumaroyl)-L-homoserine lactone <=>  S-Adenosyl-L-methionine +  p-Coumaroyl-CoA",,VERDADEIRO,"NaN"
"R10530","protodioscin glucohydrolase"," C00031 +  C20678 <=>  C00001 +  C08907"," D-Glucose +  26-Deglucoprotodioscin <=>  H2O +  Protodioscin",,VERDADEIRO,"NaN"
"R10532","L-galactonate hydro-lyase (2-dehydro-3-deoxy-L-galactonate-forming)"," C00001 +  C20680 <=>  C15930"," H2O +  2-Dehydro-3-deoxy-L-galactonate <=>  L-Galactonate",,VERDADEIRO,"NaN"
"R10533","geranylgeranyl-diphosphate diphosphate-lyase [(E,E)-geranyllinalool-forming]"," C00013 +  C20681 <=>  C00001 +  C00353"," Diphosphate +  (E,E)-Geranyllinalool <=>  H2O +  Geranylgeranyl diphosphate",,VERDADEIRO,"NaN"
"R10534","carbon-disulfide hydrogen-sulfide-lyase (carbonyl-sulfide-forming)"," C00283 +  C07331 <=>  C00001 +  C19033"," Hydrogen sulfide +  Carbonyl sulfide <=>  H2O +  Carbon disulfide",,VERDADEIRO,"NaN"
"R10535","carbonyl-sulfide hydrogen-sulfide-lyase (decarboxylating)"," C00011 +  C00283 <=>  C00001 +  C07331"," CO2 +  Hydrogen sulfide <=>  H2O +  Carbonyl sulfide",,VERDADEIRO,"NaN"
"R10536","dTDP-alpha-D-fucopyranose furanomutase"," C20682 <=>  C07277"," dTDP-alpha-D-fucofuranose <=>  dTDP-D-fucose",,VERDADEIRO,"NaN"
"R10538","carbon-disulfide hydrogen-sulfide-lyase (decarboxylating)"," C00011 + 2 C00283 <=> 2 C00001 +  C19033"," CO2 + 2 Hydrogen sulfide <=> 2 H2O +  Carbon disulfide",,VERDADEIRO,"NaN"
"R10539","(R)-2-(4-chloro-2-methylphenoxy)propanoate,2-oxoglutarate:oxygen oxidoreductase (pyruvate-forming)"," C00007 +  C00026 +  C18608 =>  C00011 +  C00022 +  C00042 +  C03359"," Oxygen +  2-Oxoglutarate +  Mecoprop-P =>  CO2 +  Pyruvate +  Succinate +  4-Chloro-2-methylphenol",,FALSO,"NaN"
"R10540","dammarenediol-II,NADPH:O2 oxidoreductase (12beta-hydroxylating)"," C00005 +  C00007 +  C00080 +  C19829 =>  C00001 +  C00006 +  C20715"," NADPH +  Oxygen +  H+ +  Dammarenediol II =>  H2O +  NADP+ +  Protopanaxadiol",,FALSO,"NaN"
"R10541","None"," C00009 +  C00013 +  C20684 <=>  C00001 +  C00002 +  C00169"," Orthophosphate +  Diphosphate +  O-Carbamoyladenylate <=>  H2O +  ATP +  Carbamoyl phosphate",,VERDADEIRO,"NaN"
"R10542","(R)-2-(4-chloro-2-dichlorophenoxy)propanoate,2-oxoglutarate:oxygen oxidoreductase (pyruvate-forming)"," C00007 +  C00026 +  C20685 =>  C00011 +  C00022 +  C00042 +  C02625"," Oxygen +  2-Oxoglutarate +  (R)-(2,4-Dichlorophenoxy)propanoate =>  CO2 +  Pyruvate +  Succinate +  2,4-Dichlorophenol",,FALSO,"NaN"
"R10543","tobramycin:carbamoyl phosphate ligase (AMP,phosphate-forming)"," C00020 +  C18001 <=>  C00397 +  C20684"," AMP +  Nebramycin 5' <=>  Tobramycin +  O-Carbamoyladenylate",,VERDADEIRO,"NaN"
"R10544","kanamycin A:carbamoyl phosphate ligase (AMP,phosphate-forming)"," C00020 +  C20699 <=>  C01822 +  C20684"," AMP +  6''-O-Carbamoylkanamycin A <=>  Kanamycin A +  O-Carbamoyladenylate",,VERDADEIRO,"NaN"
"R10545","aclacinomycin T acylhydrolase"," C00132 +  C20689 <=>  C00001 +  C18634"," Methanol +  15-Demethylaclacinomycin T <=>  H2O +  Aclacinomycin T",,VERDADEIRO,"NaN"
"R10546","N7-methyl-GMP phosphohydrolase"," C00009 +  C20674 <=>  C00001 +  C03998"," Orthophosphate +  N7-Methylguanosine <=>  H2O +  7-Methylguanosine 5'-phosphate",,VERDADEIRO,"NaN"
"R10547","kanosamine-6-phosphate phosphohydrolase"," C00009 +  C12212 <=>  C00001 +  C12213"," Orthophosphate +  Kanosamine <=>  H2O +  Kanosamine 6-phosphate",,VERDADEIRO,"NaN"
"R10548","ATP:1D-myo-inositol 1-diphosphate 2,3,4,5,6-pentakisphosphate 5-phosphotransferase"," C00008 +  C20690 <=>  C00002 +  C11174"," ADP +  1D-myo-Inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate <=>  ATP +  1-Diphosinositol pentakisphosphate",,VERDADEIRO,"NaN"
"R10550","2-dehydro-3-deoxy-L-galactonate L-glyceraldehyde-lyase (pyruvate-forming)"," C00022 +  C02426 <=>  C20680"," Pyruvate +  L-Glyceraldehyde <=>  2-Dehydro-3-deoxy-L-galactonate",,VERDADEIRO,"NaN"
"R10554","N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase"," C20620 <=>  C01289"," N-Acetyl-alpha-D-galactosaminyl-diphospho-ditrans,octacis-undecaprenol <=>  N-Acetyl-D-glucosaminyldiphosphoundecaprenol",,VERDADEIRO,"NaN"
"R10555","alpha-D-ribose 1,5-bisphosphate aldose-ketose-isomerase"," C01182 <=>  C01151"," D-Ribulose 1,5-bisphosphate <=>  D-Ribose 1,5-bisphosphate",,VERDADEIRO,"NaN"
"R10556","(2S,5S)-5-carboxymethylproline cyclo-ligase (AMP-forming)"," C00013 +  C00020 +  C17367 <=>  C00002 +  C17366"," Diphosphate +  AMP +  (3S,5S)-Carbapenam-3-carboxylic acid <=>  ATP +  (2S,5S)-trans-Carboxymethylproline",,VERDADEIRO,"NaN"
"R10557","9-cis-beta-carotene:O2 oxidoreductase (9',10'-cleaving)"," C00007 +  C20484 =>  C12287 +  C20692"," Oxygen +  9-cis-beta-Carotene =>  beta-Ionone +  9-cis-10'-Apo-beta-carotenal",,FALSO,"NaN"
"R10558","9-cis-10'-apo-beta-carotenal:O2 oxidoreductase (14,15-cleaving, carlactone-forming)","2 C00007 +  C20692 =>  C20693 +  C20694","2 Oxygen +  9-cis-10'-Apo-beta-carotenal =>  Carlactone +  (2E,4E,6E)-7-Hydroxy-4-methylhepta-2,4,6-trienal",,FALSO,"NaN"
"R10559","all-trans-beta-carotene:O2 oxidoreductase (9',10'-cleaving)"," C00007 +  C02094 =>  C12287 +  C20695"," Oxygen +  beta-Carotene =>  beta-Ionone +  all-trans-10'-Apo-beta-carotenal",,FALSO,"NaN"
"R10560","all-trans-10'-apo-beta-carotenal:O2 oxidoreductase (13,14-cleaving)"," C00007 +  C20695 =>  C20696 +  C20697"," Oxygen +  all-trans-10'-Apo-beta-carotenal =>  13-Apo-beta-carotenone +  (2E,4E,6E)-4-Methylocta-2,4,6-trienedial",,FALSO,"NaN"
"R10561","ATP:phosphomevalonate carboxy-lyase (adding ATP; isopentenyl-phosphate-forming)"," C00008 +  C00009 +  C00011 +  C20345 <=>  C00002 +  C01107"," ADP +  Orthophosphate +  CO2 +  Isopentenyl phosphate <=>  ATP +  (R)-5-Phosphomevalonate",,VERDADEIRO,"NaN"
"R10562","None"," C00005 +  C00007 +  C00080 +  C20681 => 2 C00001 +  C00006 +  C20700 +  C20701"," NADPH +  Oxygen +  H+ +  (E,E)-Geranyllinalool => 2 H2O +  NADP+ +  (E,E)-4,8,12-Trimethyltrideca-1,3,7,11-tetraene +  But-3-en-2-one",,FALSO,"NaN"
"R10563","glycerol:NADP+ oxidoreductase (D/L-glyceraldehyde-forming)"," C00006 +  C00116 <=>  C00005 +  C00080 +  C02426"," NADP+ +  Glycerol <=>  NADPH +  H+ +  L-Glyceraldehyde",,VERDADEIRO,"NaN"
"R10564","None"," C00164 +  C05231 <=>  C00024 +  C03656"," Acetoacetate +  L-3-Aminobutyryl-CoA <=>  Acetyl-CoA +  (S)-5-Amino-3-oxohexanoic acid",,VERDADEIRO,"NaN"
"R10565","L-galactonate:NAD+ oxidoreductase"," C00004 +  C00080 +  C00333 <=>  C00003 +  C15930"," NADH +  H+ +  D-Galacturonate <=>  NAD+ +  L-Galactonate",,VERDADEIRO,"NaN"
"R10573","dTDP-6-deoxy-alpha-D-allose:NADP+ oxidoreductase"," C00005 +  C00080 +  C11926 <=>  C00006 +  C11912"," NADPH +  H+ +  dTDP-4-oxo-6-deoxy-D-allose <=>  NADP+ +  dTDP-6-deoxy-D-allose",,VERDADEIRO,"NaN"
"R10576","oleate:oxygen (10S)-oxidoreductase"," C00007 +  C00712 =>  C20702"," Oxygen +  (9Z)-Octadecenoic acid =>  (8E,10S)-10-Hydroperoxyoctadeca-8-enoate",,FALSO,"NaN"
"R10577","linoleate:oxygen (10S)-oxidoreductase"," C00007 +  C01595 =>  C20703"," Oxygen +  Linoleate =>  (8E,10S,12Z)-10-Hydroperoxyoctadeca-8,12-dienoate",,FALSO,"NaN"
"R10578","alpha-linolenate:oxygen (10S)-oxidoreductase"," C00007 +  C06427 =>  C20704"," Oxygen +  (9Z,12Z,15Z)-Octadecatrienoic acid =>  (8E,10S,12Z,15Z)-10-Hydroperoxyoctadeca-8,12,15-trienoate",,FALSO,"NaN"
"R10579","4-O-(beta-L-arabinofuranosyl-(1->2)-beta-L-arabinofuranosyl-(1->2)-beta-L-arabinofuranosyl)-(2S,4S)-4-hydroxyproline beta-L-arabinofuranosyl-(1->2)-beta-L-arabinofuranose hydrolase"," C20568 +  C20706 <=>  C00001 +  C20705"," beta-L-Arabinofuranosyl-(1->2)-beta-L-arabinofuranose +  4-O-(beta-L-Arabinofuranosyl)-(2S,4S)-4-hydroxyproline <=>  H2O +  4-O-(beta-L-Arabinofuranosyl-(1->2)-beta-L-arabinofuranosyl-(1->2)-beta-L-arabinofuranosyl)-(2S,4S)-4-hydroxyproline",,VERDADEIRO,"NaN"
"R10580","avenacoside B 26-beta-D-glucohydrolase"," C00031 +  C20707 <=>  C00001 +  C08888"," D-Glucose +  26-Desgluco-avenacoside B <=>  H2O +  Avenacoside B",,VERDADEIRO,"NaN"
"R10581","3-O-[alpha-L-Rha-(1->4)-[alpha-L-Rha-(1->2)]-beta-D-Glc]diosgenin hydrolase (diosgenin-forming)"," C00031 + 2 C00507 +  C08898 <=> 3 C00001 +  C08897"," D-Glucose + 2 L-Rhamnose +  Diosgenin <=> 3 H2O +  Dioscin",,VERDADEIRO,"NaN"
"R10582","3-O-[alpha-L-Rha-(1->4)-[alpha-L-Rha-(1->2)]-beta-D-Glc]diosgenin (3-O-beta-D-Glc-diosgenin-forming)","2 C00507 +  C20709 <=> 2 C00001 +  C08897","2 L-Rhamnose +  Diosgenin 3-O-beta-D-glucopyranoside <=> 2 H2O +  Dioscin",,VERDADEIRO,"NaN"
"R10583","chorismate pyruvate-hydrolase"," C00022 +  C20710 <=>  C00001 +  C00251"," Pyruvate +  (4R,5R)-4,5-Dihydroxycyclohexa-1(6),2-diene-1-carboxylate <=>  H2O +  Chorismate",,VERDADEIRO,"NaN"
"R10584","(2E,6E)-farnesyl-diphosphate diphosphate-lyase (cyclizing, alpha-copaene-forming)"," C00013 +  C09639 <=>  C00448"," Diphosphate +  alpha-Copaene <=>  trans,trans-Farnesyl diphosphate",,VERDADEIRO,"NaN"
"R10585","(+)-copaly-diphosphate diphosphate-lyase (cyclizing, miltiradiene-forming)"," C00013 +  C20711 <=>  C11901"," Diphosphate +  Miltiradiene <=>  Copalyl diphosphate",,VERDADEIRO,"NaN"
"R10588","S-adenosyl-L-methionine:6-hydroxytryprostatin B O-methyltransferase"," C00021 +  C20607 <=>  C00019 +  C20513"," S-Adenosyl-L-homocysteine +  Tryprostatin A <=>  S-Adenosyl-L-methionine +  6-Hydroxytryprostatin B",,VERDADEIRO,"NaN"
"R10589","anthraniloyl-CoA:3-oxodecanoate C-anthraniloyltransferase (decarboxylating)"," C00001 +  C00010 +  C00011 +  C20643 <=>  C02247 +  C20714"," H2O +  CoA +  CO2 +  2-Heptyl-4(1H)-quinolone <=>  Anthraniloyl-CoA +  3-Oxodecanoate",,VERDADEIRO,"NaN"
"R10590","anthraniloyl-CoA:malonyl-CoA C-anthraniloyltransferase (decarboxylating)","2 C00010 +  C00011 +  C16716 <=>  C00083 +  C02247","2 CoA +  CO2 +  4-Hydroxy-2-quinolone <=>  Malonyl-CoA +  Anthraniloyl-CoA",,VERDADEIRO,"NaN"
"R10591","protopanaxadiol,NADPH:O2 oxidoreductase (6alpha-hydroxylating)"," C00005 +  C00007 +  C00080 +  C20715 =>  C00001 +  C00006 +  C20716"," NADPH +  Oxygen +  H+ +  Protopanaxadiol =>  H2O +  NADP+ +  Protopanaxatriol",,FALSO,"NaN"
"R10592","4-hydroxy-2,5-dimethylfuran-3(2H)-one:NAD+ oxidoreductase"," C00004 +  C00080 +  C20718 <=>  C00003 +  C20717"," NADH +  H+ +  4-Hydroxy-5-methyl-2-methylenefuran-3(2H)-one <=>  NAD+ +  4-Hydroxy-2,5-dimethylfuran-3(2H)-one",,VERDADEIRO,"NaN"
"R10593","4-hydroxy-2,5-dimethylfuran-3(2H)-one:NADP+ oxidoreductase"," C00005 +  C00080 +  C20718 <=>  C00006 +  C20717"," NADPH +  H+ +  4-Hydroxy-5-methyl-2-methylenefuran-3(2H)-one <=>  NADP+ +  4-Hydroxy-2,5-dimethylfuran-3(2H)-one",,VERDADEIRO,"NaN"
"R10594","UDP-alpha-D-glucose:vancomycin aglycone 48-O-beta-glucosyltransferase"," C00015 +  C20720 <=>  C00029 +  C20719"," UDP +  Desvancosaminyl-vancomycin <=>  UDP-glucose +  Vancomycin aglycone",,VERDADEIRO,"NaN"
"R10595","dTDP-L-4-epi-vancosamine:desvancosaminyl-vancomycin vancosaminyltransferase"," C00363 +  C20721 <=>  C12321 +  C20720"," dTDP +  Chloroorienticin B <=>  dTDP-L-epivancosamine +  Desvancosaminyl-vancomycin",,VERDADEIRO,"NaN"
"R10597","chorismate pyruvate-lyase (3-hydroxybenzoate-forming)"," C00022 +  C00587 <=>  C00251"," Pyruvate +  3-Hydroxybenzoate <=>  Chorismate",,VERDADEIRO,"NaN"
"R10598","(2E,6E)-farnesyl diphosphate lyase (cyclizing, (+)-beta-chamigrene-forming)"," C00013 +  C19908 <=>  C00448"," Diphosphate +  (+)-beta-Chamigrene <=>  trans,trans-Farnesyl diphosphate",,VERDADEIRO,"NaN"
"R10599","(2E,6E)-farnesyl diphosphate lyase (cyclizing, (+)-thujopsene-forming)"," C00013 +  C20724 <=>  C00448"," Diphosphate +  (+)-Thujopsene <=>  trans,trans-Farnesyl diphosphate",,VERDADEIRO,"NaN"
"R10600","acetyl-CoA:itaconate CoA-transferase"," C00033 +  C00531 <=>  C00024 +  C00490"," Acetate +  Itaconyl-CoA <=>  Acetyl-CoA +  Itaconate",,VERDADEIRO,"NaN"
"R10602","reduced coenzyme F420:oxygen oxidoreductase"," C00007 + 2 C01080 => 2 C00001 + 2 C00876"," Oxygen + 2 Reduced coenzyme F420 => 2 H2O + 2 Coenzyme F420",,FALSO,"NaN"
"R10604","None"," C00880 <=>  C00001 +  C02669"," D-Galactonate <=>  H2O +  D-Galactono-1,5-lactone",,VERDADEIRO,"NaN"
"R10605","S-adenosyl-L-methionine:(S)-reticuline 7-O-methyltransferase"," C00021 +  C20712 <=>  C00019 +  C02105"," S-Adenosyl-L-homocysteine +  (S)-Laudanine <=>  S-Adenosyl-L-methionine +  (S)-Reticuline",,VERDADEIRO,"NaN"
"R10606","S-adenosyl-L-methionine:(R)-reticuline 7-O-methyltransferase"," C00021 +  C09555 <=>  C00019 +  C05178"," S-Adenosyl-L-homocysteine +  (-)-Laudanidine <=>  S-Adenosyl-L-methionine +  (R)-Reticuline",,VERDADEIRO,"NaN"
"R10607","UDP-glucose:ginsenoside-Rd beta-1,6-glucosyltransferase"," C00015 +  C20713 <=>  C00029 +  C20725"," UDP +  Ginsenoside Rb1 <=>  UDP-glucose +  Ginsenoside Rd",,VERDADEIRO,"NaN"
"R10608","nicotinate D-ribonucleotide:phenol phospho-D-ribosyltransferase"," C00080 +  C00253 +  C20726 <=>  C00146 +  C01185"," H+ +  Nicotinate +  Phenyl 5-phospho-alpha-D-ribofuranoside <=>  Phenol +  Nicotinate D-ribonucleotide",,VERDADEIRO,"NaN"
"R10609","UDP-alpha-D-xylose:kaempferol 3-O-D-xylosyltransferase"," C00015 +  C20727 <=>  C00190 +  C05903"," UDP +  Kaempferol 3-O-beta-D-xyloside <=>  UDP-D-xylose +  Kaempferol",,VERDADEIRO,"NaN"
"R10612","(S)-malyl-CoA hydrolase"," C00010 +  C00149 <=>  C00001 +  C04348"," CoA +  (S)-Malate <=>  H2O +  L-Malyl-CoA",,VERDADEIRO,"NaN"
"R10614","acetyl-CoA:oxalate CoA-transferase"," C00033 +  C00313 <=>  C00024 +  C00209"," Acetate +  Oxalyl-CoA <=>  Acetyl-CoA +  Oxalate",,VERDADEIRO,"NaN"
"R10615","D-glyceraldehyde:NADP+ oxidoreductase"," C00005 +  C00080 +  C00258 <=>  C00001 +  C00006 +  C00577"," NADPH +  H+ +  D-Glycerate <=>  H2O +  NADP+ +  D-Glyceraldehyde",,VERDADEIRO,"NaN"
"R10616","2-dehydro-3-deoxy-D-galactonate D-glyceraldehyde-lyase (pyruvate-forming)"," C00022 +  C00577 <=>  C01216"," Pyruvate +  D-Glyceraldehyde <=>  2-Dehydro-3-deoxy-D-galactonate",,VERDADEIRO,"NaN"
"R10619","D-galactose 1-epimerase;"," C00984 <=>  C00124"," alpha-D-Galactose <=>  D-Galactose",,VERDADEIRO,"NaN"
"R10622","alpha-D-galactose-1-phosphate phosphohydrolase"," C00009 +  C00124 <=>  C00001 +  C00446"," Orthophosphate +  D-Galactose <=>  H2O +  alpha-D-Galactose 1-phosphate",,VERDADEIRO,"NaN"
"R10623","delta-tocotrienol lyase (decyclizing)"," C20737 <=>  C14156"," 6-Geranylgeranyl-2-methylbenzene-1,4-diol <=>  delta-Tocotrienol",,VERDADEIRO,"NaN"
"R10624","gamma-tocotrienol lyase (decyclizing)"," C20738 <=>  C14155"," 6-Geranylgeranyl-2,3-dimethylbenzene-1,4-diol <=>  gamma-Tocotrienol",,VERDADEIRO,"NaN"
"R10626","narbomycin,NADPH:oxygen oxidoreductase (pikromycin-forming)"," C00005 +  C00007 +  C00080 +  C11998 =>  C00001 +  C00006 +  C20739"," NADPH +  Oxygen +  H+ +  Narbomycin =>  H2O +  NADP+ +  Neopikromycin",,FALSO,"NaN"
"R10627","narbomycin,NADPH:oxygen oxidoreductase (pikromycin-forming)","2 C00005 + 2 C00007 + 2 C00080 +  C11998 => 2 C00001 + 2 C00006 +  C20740","2 NADPH + 2 Oxygen + 2 H+ +  Narbomycin => 2 H2O + 2 NADP+ +  Novapikromyin",,FALSO,"NaN"
"R10628","10-deoxymethymycin,NADPH:oxygen oxidoreductase (pikromycin-forming)","2 C00005 + 2 C00007 + 2 C00080 +  C11994 => 2 C00001 + 2 C00006 +  C20741","2 NADPH + 2 Oxygen + 2 H+ +  10-Deoxymethymycin => 2 H2O + 2 NADP+ +  Novamethymycin",,FALSO,"NaN"
"R10629","NAD+ nicotinamide-lyase (cyclic-ADP-ribose-forming)"," C00080 +  C00153 +  C13050 <=>  C00003"," H+ +  Nicotinamide +  Cyclic ADP-ribose <=>  NAD+",,VERDADEIRO,"NaN"
